"region","kön","ålder","inkomstklass","2014","2015","2016","2017","2018","2019","2020","2021"
"1471 Götene","totalt","totalt 16+ år","totalt",238.8,247.2,259.5,267.6,272.8,281.1,288.0,298.2
"1472 Tibro","totalt","totalt 16+ år","totalt",218.8,227.9,237.7,246.2,254.4,258.3,264.0,274.1
"1473 Töreboda","totalt","totalt 16+ år","totalt",209.6,216.0,224.3,230.3,238.3,243.4,245.4,254.7
"1480 Göteborg","totalt","totalt 16+ år","totalt",243.5,255.3,268.1,278.4,287.9,295.7,299.1,308.5
"1481 Mölndal","totalt","totalt 16+ år","totalt",281.3,291.9,304.0,313.6,325.1,336.0,342.1,353.3
"1482 Kungälv","totalt","totalt 16+ år","totalt",272.7,283.0,296.3,306.0,315.0,323.3,327.9,341.0
"1484 Lysekil","totalt","totalt 16+ år","totalt",234.7,243.7,253.6,259.4,266.3,272.9,279.2,289.2
"1485 Uddevalla","totalt","totalt 16+ år","totalt",236.8,246.8,258.6,267.6,274.6,279.3,285.5,293.0
"1486 Strömstad","totalt","totalt 16+ år","totalt",235.0,267.6,274.7,280.2,289.0,297.9,291.0,295.6
"1487 Vänersborg","totalt","totalt 16+ år","totalt",235.2,243.5,253.3,261.1,269.8,273.3,279.1,286.0
"1488 Trollhättan","totalt","totalt 16+ år","totalt",227.2,238.2,250.5,259.8,268.0,274.6,279.1,286.4
"1489 Alingsås","totalt","totalt 16+ år","totalt",249.1,257.6,267.5,276.3,284.6,292.6,297.3,306.7
"1490 Borås","totalt","totalt 16+ år","totalt",239.9,249.2,258.9,267.1,275.7,281.7,284.2,293.6
"1491 Ulricehamn","totalt","totalt 16+ år","totalt",242.5,249.6,260.9,267.2,276.8,281.3,286.9,297.3
"1492 Åmål","totalt","totalt 16+ år","totalt",214.0,220.4,224.8,233.4,238.8,245.9,250.6,260.9
"1493 Mariestad","totalt","totalt 16+ år","totalt",229.9,238.6,250.4,260.7,265.9,273.2,278.6,289.5
"1494 Lidköping","totalt","totalt 16+ år","totalt",242.6,252.6,264.0,273.9,282.8,289.1,295.1,304.9
"1495 Skara","totalt","totalt 16+ år","totalt",231.9,240.5,251.8,261.5,269.4,274.5,280.6,289.3
"1496 Skövde","totalt","totalt 16+ år","totalt",251.7,261.5,270.7,279.5,290.1,296.5,300.2,310.7
"1497 Hjo","totalt","totalt 16+ år","totalt",229.7,237.8,247.8,256.5,264.9,271.4,274.3,287.3
"1498 Tidaholm","totalt","totalt 16+ år","totalt",228.9,236.8,246.3,253.1,262.5,269.9,274.9,284.8
"1499 Falköping","totalt","totalt 16+ år","totalt",227.9,234.6,244.2,254.1,261.3,266.2,270.4,278.1
"1715 Kil","totalt","totalt 16+ år","totalt",237.8,247.4,257.6,265.1,274.5,279.8,284.2,292.1
"1730 Eda","totalt","totalt 16+ år","totalt",203.4,238.3,244.4,247.9,256.9,263.2,262.9,266.9
"1737 Torsby","totalt","totalt 16+ år","totalt",219.2,230.4,238.4,244.7,252.4,261.5,265.9,274.2
"1760 Storfors","totalt","totalt 16+ år","totalt",221.6,230.1,240.1,245.8,252.9,260.5,265.6,270.7
"1761 Hammarö","totalt","totalt 16+ år","totalt",284.0,292.1,302.4,315.0,323.7,330.4,335.8,348.5
"1762 Munkfors","totalt","totalt 16+ år","totalt",209.2,222.8,230.3,233.3,241.5,247.9,253.1,259.8
"1763 Forshaga","totalt","totalt 16+ år","totalt",230.8,242.9,251.9,261.4,264.9,271.1,274.9,285.8
"1764 Grums","totalt","totalt 16+ år","totalt",223.6,232.3,241.6,250.0,255.6,264.3,268.5,275.5
"1765 Årjäng","totalt","totalt 16+ år","totalt",216.0,250.6,256.9,257.9,263.1,276.9,276.1,281.3
"1766 Sunne","totalt","totalt 16+ år","totalt",222.5,233.6,244.1,251.1,260.6,265.7,269.8,282.5
"1780 Karlstad","totalt","totalt 16+ år","totalt",242.6,253.9,263.2,271.0,278.7,285.3,287.7,297.5
"1781 Kristinehamn","totalt","totalt 16+ år","totalt",219.2,227.9,234.9,243.1,250.1,254.5,258.4,265.2
"1782 Filipstad","totalt","totalt 16+ år","totalt",208.2,211.9,218.9,225.2,228.3,231.9,236.8,245.7
"1783 Hagfors","totalt","totalt 16+ år","totalt",220.9,228.6,239.2,245.3,251.0,256.8,258.0,263.4
"1784 Arvika","totalt","totalt 16+ år","totalt",225.2,238.2,245.5,252.2,258.0,266.1,270.2,277.5
"1785 Säffle","totalt","totalt 16+ år","totalt",210.5,219.7,229.1,233.9,239.8,246.3,250.1,255.5
"1814 Lekeberg","totalt","totalt 16+ år","totalt",243.8,254.9,264.2,275.2,285.0,292.3,294.5,304.6
"1860 Laxå","totalt","totalt 16+ år","totalt",217.5,226.8,233.9,241.9,248.7,248.7,258.0,265.5
"1861 Hallsberg","totalt","totalt 16+ år","totalt",232.4,237.7,246.2,254.3,258.7,264.5,270.8,281.6
"1862 Degerfors","totalt","totalt 16+ år","totalt",222.6,227.9,237.0,242.8,245.5,252.3,258.0,264.8
"1863 Hällefors","totalt","totalt 16+ år","totalt",211.8,216.4,227.6,231.6,236.5,239.7,245.5,252.7
"1864 Ljusnarsberg","totalt","totalt 16+ år","totalt",204.2,208.5,215.9,217.8,223.2,226.6,229.1,240.3
"1880 Örebro","totalt","totalt 16+ år","totalt",238.6,246.8,256.3,263.6,269.3,275.5,281.1,289.2
"1881 Kumla","totalt","totalt 16+ år","totalt",246.0,253.0,262.7,270.5,278.4,284.9,290.0,300.3
"1882 Askersund","totalt","totalt 16+ år","totalt",235.6,240.9,248.6,256.0,265.0,270.5,274.4,285.1
"1883 Karlskoga","totalt","totalt 16+ år","totalt",233.3,239.3,246.4,253.2,262.1,269.6,278.1,288.8
"1884 Nora","totalt","totalt 16+ år","totalt",230.7,236.6,244.2,252.4,258.2,265.6,272.6,280.9
"1885 Lindesberg","totalt","totalt 16+ år","totalt",230.1,236.7,244.9,253.1,259.1,262.7,266.8,275.8
"1904 Skinnskatteberg","totalt","totalt 16+ år","totalt",223.4,227.4,236.5,242.9,250.3,255.2,258.0,266.1
"1907 Surahammar","totalt","totalt 16+ år","totalt",235.0,242.0,250.0,254.7,263.6,270.3,276.0,286.4
"1960 Kungsör","totalt","totalt 16+ år","totalt",232.3,237.5,245.6,246.7,254.5,263.1,267.6,279.1
"1961 Hallstahammar","totalt","totalt 16+ år","totalt",229.1,238.4,247.3,255.5,262.3,269.0,275.9,282.7
"1962 Norberg","totalt","totalt 16+ år","totalt",228.2,234.4,247.0,252.5,257.0,256.9,261.1,267.2
"1980 Västerås","totalt","totalt 16+ år","totalt",247.8,256.2,265.9,272.9,281.0,287.8,292.8,301.0
"1981 Sala","totalt","totalt 16+ år","totalt",228.5,235.6,244.3,251.6,259.8,265.5,273.1,279.4
"1982 Fagersta","totalt","totalt 16+ år","totalt",237.2,240.6,247.1,256.3,261.2,266.4,271.8,277.8
"1983 Köping","totalt","totalt 16+ år","totalt",229.9,238.3,247.9,254.8,260.7,266.5,270.2,280.0
"1984 Arboga","totalt","totalt 16+ år","totalt",223.8,230.5,239.9,246.8,253.4,258.2,262.6,271.3
"2021 Vansbro","totalt","totalt 16+ år","totalt",211.0,220.3,229.2,235.1,240.7,248.5,254.8,263.8
"2023 Malung-Sälen","totalt","totalt 16+ år","totalt",226.7,237.9,248.1,255.8,262.4,268.8,274.3,283.9
"2026 Gagnef","totalt","totalt 16+ år","totalt",240.6,245.5,254.1,261.8,270.0,274.6,282.7,291.3
"2029 Leksand","totalt","totalt 16+ år","totalt",234.0,242.5,252.3,256.5,262.3,267.3,272.9,282.3
"2031 Rättvik","totalt","totalt 16+ år","totalt",217.8,224.8,234.5,241.5,249.6,253.6,258.6,265.7
"2034 Orsa","totalt","totalt 16+ år","totalt",208.6,219.7,231.5,234.7,241.5,247.4,252.1,260.1
